開催年,開催日付,コースコード,馬コード,開催回,開催日目,レース番号,枠番,馬番,東西所属コード,負担重量,馬齢,性別,誕生月,騎手コード,騎手東西所属コード,ブリンカーフラグ,着順,着差,走破タイム,グレードコード,ハンデ条件,トラックコード,年齢条件,競争条件,競争記号,距離,スタートタイム,出走頭数,毛色,開催年_1走前,開催年_2走前,開催年_3走前,開催日付_1走前,開催日付_2走前,開催日付_3走前,レース番号_1走前,レース番号_2走前,レース番号_3走前,枠番_1走前,枠番_2走前,枠番_3走前,馬番_1走前,馬番_2走前,馬番_3走前,負担重量_1走前,負担重量_2走前,負担重量_3走前,馬体重_1走前,馬体重_2走前,馬体重_3走前,馬体重増減_1走前,馬体重増減_2走前,馬体重増減_3走前,単勝オッズ_1走前,単勝オッズ_2走前,単勝オッズ_3走前,人気_1走前,人気_2走前,人気_3走前,着順_1走前,着順_2走前,着順_3走前,コーナー1順位_1走前,コーナー1順位_2走前,コーナー1順位_3走前,コーナー2順位_1走前,コーナー2順位_2走前,コーナー2順位_3走前,コーナー3順位_1走前,コーナー3順位_2走前,コーナー3順位_3走前,コーナー4順位_1走前,コーナー4順位_2走前,コーナー4順位_3走前,走破タイム_1走前,走破タイム_2走前,走破タイム_3走前,着差_1走前,着差_2走前,着差_3走前,年齢条件_1走前,年齢条件_2走前,年齢条件_3走前,競争条件_1走前,競争条件_2走前,競争条件_3走前,ハンデ条件_1走前,ハンデ条件_2走前,ハンデ条件_3走前,競争記号_1走前,競争記号_2走前,競争記号_3走前,芝ダート_1走前,芝ダート_2走前,芝ダート_3走前,距離_1走前,距離_2走前,距離_3走前,スタートタイム_1走前,スタートタイム_2走前,スタートタイム_3走前,出走頭数_1走前,出走頭数_2走前,出走頭数_3走前,グレードコード_1走前,グレードコード_2走前,グレードコード_3走前,開催回_1走前,開催回_2走前,開催回_3走前,開催日_1走前,開催日_2走前,開催日_3走前,天気_1走前,天気_2走前,天気_3走前,馬場状態_1走前,馬場状態_2走前,馬場状態_3走前,ブリンカーフラグ_1走前,ブリンカーフラグ_2走前,ブリンカーフラグ_3走前,タイム3f_1走前,タイム3f_2走前,タイム3f_3走前
2019,629,3,2015103530,2,1,11,1,1,関東,57,4,牡馬,2,733,関東,0,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,芦毛,2019,2019,2019,414,324,119,8,12,9,7,1,2,10,1,4,57,57,56,516.0,506,510,10,-4,4,290,52,35,7,2,2,1,15,1,0,0,0,0,0,0,9,16,3,7,16,2,1.08.9,1.26.4,1.25.2,-0.0,1.9,-0.0,４上,４上,４上,１０００万円以下,１０００万円以下,５００万円以下,定量,定量,定量,(混合)[指定] ,(混合)[指定] ,[指定],芝,ダート,ダート,1200,1400,1400,1355,1625,1415,12,16,16,5.0,5.0,,3,2,1,8,6,1,曇,晴,晴,良,良,良,0,0,0.0,33.3,37.6,37.2
2019,629,3,2011101727,2,1,11,2,2,関西,57,8,セン馬,4,1127,関東,0,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,黒鹿毛,2019,2019,2019,525,223,203,10,11,10,4,4,3,6,4,5,57,53,53,494.0,482,482,12,0,-2,857,261,321,13,8,10,14,9,12,0,0,0,0,0,0,15,11,15,15,10,14,1.21.8,1.08.6,1.09.9,1.4,0.5,0.7,４上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,ハンデ,ハンデ,(混合)[指定] ,(混合)[指定] ,(混合)[指定] ,芝,芝,芝,1400,1200,1200,1501,1545,1501,15,12,16,5.0,5.0,5.0,3,2,2,11,1,4,晴,晴,曇,良,良,良,0,0,0.0,34.0,33.6,34.0
2019,629,3,2013101575,2,1,11,3,3,関西,55,6,牝馬,4,1161,関東,0,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,鹿毛,2019,2019,2019,615,421,406,11,11,11,5,8,4,9,15,6,52,53,55,446.0,446,448,0,-2,6,433,209,197,10,10,9,11,1,3,0,0,0,0,0,0,6,2,4,8,2,4,1.09.7,1.09.0,1.09.2,1.0,-0.0,0.3,３上,４上,４上,１６００万円以下,１０００万円以下,１０００万円以下,ハンデ,ハンデ,定量,(混合)[指定] ,(混合),(混合)[指定] ,芝,芝,芝,1200,1200,1200,1535,1525,1525,16,16,15,5.0,5.0,5.0,3,1,1,5,6,1,曇,曇,晴,稍重,良,良,0,0,0.0,35.3,34.8,34.8
2019,629,3,2012100936,2,1,11,4,4,関西,57,7,牡馬,4,1158,関東,0,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,黒鹿毛,2019,2019,2019,615,519,427,11,11,11,1,3,8,1,5,13,56,55,57,488.0,490,488,-2,2,0,382,458,93,9,12,5,8,14,2,0,0,0,0,0,0,8,0,0,6,0,0,1.09.6,55.4,55.7,0.9,1.5,0.1,３上,４上,４上,１６００万円以下,オープン,１６００万円以下,ハンデ,ハンデ,定量,(混合)[指定] ,(国際),(混合)[指定] ,芝,芝,芝,1200,1000,1000,1535,1520,1535,16,16,13,5.0,5.0,5.0,3,1,1,5,8,1,曇,晴,小雨,稍重,良,重,0,0,0.0,35.3,33.2,33.1
2019,629,3,2014105317,2,1,11,4,5,関東,55,5,牝馬,4,1092,関東,0,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,鹿毛,2019,2019,2018,223,210,1103,11,12,8,1,2,4,1,4,8,55,53,55,474.0,470,458,4,12,2,185,62,25,8,2,1,1,7,1,0,0,0,0,0,0,7,7,3,7,5,3,1.08.4,1.09.4,1.08.1,-0.0,0.6,-0.0,４上,４上,３上,１０００万円以下,１０００万円以下,５００万円以下,定量,ハンデ,定量,(混合)[指定] ,(混合),,芝,芝,芝,1200,1200,1200,1525,1601,1345,18,18,16,5.0,5.0,,1,1,3,5,2,1,晴,晴,晴,良,良,良,0,0,0.0,34.3,35.5,34.2
2019,629,3,2013104774,2,1,11,5,6,関西,55,6,牝馬,4,1122,関東,0,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,鹿毛,2019,2019,2019,331,324,224,11,10,11,1,5,4,1,6,5,55,55,55,460.0,466,462,-6,4,4,239,452,133,8,10,7,11,6,4,0,0,0,0,0,0,3,11,10,4,11,10,1.09.2,1.09.4,1.08.3,0.0,0.7,0.3,４上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,定量,定量,(混合)[指定] ,(混合),(混合),芝,芝,芝,1200,1200,1200,1530,1440,1525,14,12,14,5.0,5.0,5.0,3,2,1,4,2,6,晴,晴,晴,良,良,良,0,0,0.0,0.0,33.8,34.6
2019,629,3,2014103714,2,1,11,5,7,関東,57,5,牡馬,3,1075,関東,1,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,黒鹿毛,2019,2019,2018,331,223,1228,11,11,12,7,7,3,11,10,6,57,56,56,488.0,488,484,0,4,2,73,41,135,5,2,5,3,10,11,0,0,0,0,0,0,2,3,1,2,2,1,1.08.9,1.08.7,1.22.3,0.0,0.6,0.9,４上,４上,３上,１６００万円以下,１６００万円以下,１６００万円以下,定量,ハンデ,ハンデ,(混合)[指定] ,(混合)[指定] ,(混合)[指定] ,芝,芝,芝,1200,1200,1400,1530,1545,1625,14,12,18,5.0,5.0,5.0,3,2,5,4,1,9,晴,晴,晴,良,良,良,1,1,1.0,0.0,35.1,36.9
2019,629,3,2014106125,2,1,11,6,8,関東,55,5,牝馬,1,5386,関東,0,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,青鹿毛,2019,2019,2018,518,330,1027,12,10,9,3,8,1,6,9,2,55,55,55,506.0,502,498,4,4,2,23,32,21,1,1,1,1,3,3,0,0,0,0,0,0,7,2,4,6,2,3,1.20.5,1.22.1,1.20.0,-0.0,0.8,0.1,４上,４上,３上,１０００万円以下,１０００万円以下,１０００万円以下,定量,定量,ハンデ,[指定],(混合)[指定] ,(混合)[指定] ,芝,芝,芝,1400,1400,1400,1625,1501,1435,18,10,18,,5.0,5.0,2,2,4,9,3,8,晴,雨,晴,良,稍重,良,0,0,0.0,33.6,36.3,34.1
2019,629,3,2011100215,2,1,11,6,9,関東,57,8,牡馬,4,1162,関東,1,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,栗毛,2019,2019,2019,615,427,224,11,11,11,6,1,8,12,1,14,52,57,57,482.0,482,486,0,-4,-10,1426,881,1563,13,12,14,5,7,6,0,0,0,0,0,0,3,0,10,3,0,8,1.09.4,56.7,1.08.5,0.7,1.1,0.5,３上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,ハンデ,定量,定量,(混合)[指定] ,(混合)[指定] ,(混合),芝,芝,芝,1200,1000,1200,1535,1535,1525,16,13,14,5.0,5.0,5.0,3,1,1,5,1,6,曇,小雨,晴,稍重,重,良,1,1,1.0,35.6,34.1,34.9
2019,629,3,2012101282,2,1,11,7,10,関西,57,7,セン馬,3,1009,関東,0,0,0,0.0,5,定量,芝,３上,１６００万円以下,(混合)(特指),1200,1545,13,栗毛,2019,2019,2018,615,519,1104,11,11,11,7,8,7,14,16,14,54,52,57,482.0,478,478,4,0,-16,723,777,2614,11,14,16,13,5,14,0,0,0,0,0,0,8,0,5,10,0,5,1.10.7,54.6,1.08.7,2.0,0.7,0.9,３上,４上,３上,１６００万円以下,オープン,１６００万円以下,ハンデ,ハンデ,定量,(混合)[指定] ,(国際),(混合)(特指),芝,芝,芝,1200,1000,1200,1535,1520,1520,16,16,16,5.0,5.0,5.0,3,1,3,5,8,2,曇,晴,晴,稍重,良,良,0,0,0.0,36.2,32.4,35.1
