開催年,開催日付,コースコード,馬コード,開催回,開催日目,レース番号,枠番,馬番,東西所属コード,負担重量,馬齢,性別,誕生月,騎手コード,騎手東西所属コード,ブリンカーフラグ,着順,着差,走破タイム,グレードコード,ハンデ条件,トラックコード,年齢条件,競争条件,競争記号,距離,スタートタイム,出走頭数,毛色,開催年_1走前,開催年_2走前,開催年_3走前,開催日付_1走前,開催日付_2走前,開催日付_3走前,レース番号_1走前,レース番号_2走前,レース番号_3走前,枠番_1走前,枠番_2走前,枠番_3走前,馬番_1走前,馬番_2走前,馬番_3走前,負担重量_1走前,負担重量_2走前,負担重量_3走前,馬体重_1走前,馬体重_2走前,馬体重_3走前,馬体重増減_1走前,馬体重増減_2走前,馬体重増減_3走前,単勝オッズ_1走前,単勝オッズ_2走前,単勝オッズ_3走前,人気_1走前,人気_2走前,人気_3走前,着順_1走前,着順_2走前,着順_3走前,コーナー1順位_1走前,コーナー1順位_2走前,コーナー1順位_3走前,コーナー2順位_1走前,コーナー2順位_2走前,コーナー2順位_3走前,コーナー3順位_1走前,コーナー3順位_2走前,コーナー3順位_3走前,コーナー4順位_1走前,コーナー4順位_2走前,コーナー4順位_3走前,走破タイム_1走前,走破タイム_2走前,走破タイム_3走前,着差_1走前,着差_2走前,着差_3走前,年齢条件_1走前,年齢条件_2走前,年齢条件_3走前,競争条件_1走前,競争条件_2走前,競争条件_3走前,ハンデ条件_1走前,ハンデ条件_2走前,ハンデ条件_3走前,競争記号_1走前,競争記号_2走前,競争記号_3走前,芝ダート_1走前,芝ダート_2走前,芝ダート_3走前,距離_1走前,距離_2走前,距離_3走前,スタートタイム_1走前,スタートタイム_2走前,スタートタイム_3走前,出走頭数_1走前,出走頭数_2走前,出走頭数_3走前,グレードコード_1走前,グレードコード_2走前,グレードコード_3走前,開催回_1走前,開催回_2走前,開催回_3走前,開催日_1走前,開催日_2走前,開催日_3走前,天気_1走前,天気_2走前,天気_3走前,馬場状態_1走前,馬場状態_2走前,馬場状態_3走前,ブリンカーフラグ_1走前,ブリンカーフラグ_2走前,ブリンカーフラグ_3走前,タイム3f_1走前,タイム3f_2走前,タイム3f_3走前
2019,629,2,2016105669,1,5,11,1,1,関東,51,3,牝馬,3,1168,関西,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,栗毛,2019,2019,2018,615,429,902,11,6,10,2,2,5,2,3,8,52,53,54,436.0,442,444,-6,-6,2,24,573,1805,1,11,14,1,1,5,0,0,0,0,0,0,1,1,3,1,1,2,1.08.6,1.08.1,1.11.2,-0.0,-0.0,,３上,３才,２才,１０００万円以下,５００万円以下,オープン,定量,馬齢,別定,(混合)(特指),(特指),(国際)(特指),芝,芝,芝,1200,1200,1200,1525,1301,1450,13,15,14,5.0,,5.0,1,3,2,1,4,6,曇,曇,晴,良,良,良,0,0,,35.0,33.9,
2019,629,2,2015105214,1,5,11,1,2,関西,54,4,牡馬,4,5243,関東,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,鹿毛,2019,2019,2019,420,406,217,11,11,12,7,3,4,12,4,7,57,57,57,536.0,532,534,4,-2,-16,488,49,154,12,1,6,12,1,8,0,0,0,0,0,0,3,7,8,3,7,9,1.08.6,1.08.9,1.09.0,1.3,0.0,0.3,４上,４上,４上,１６００万円以下,１０００万円以下,１０００万円以下,定量,定量,定量,(混合)[指定] ,(混合)[指定] ,(混合),芝,芝,芝,1200,1200,1200,1535,1525,1601,14,15,18,5.0,5.0,5.0,3,1,1,1,1,4,晴,晴,晴,良,良,良,0,0,0.0,34.1,34.4,34.5
2019,629,2,2015102980,1,5,11,2,3,関西,51,4,牝馬,3,1015,関西,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,栗毛,2019,2019,2019,216,112,105,10,11,10,2,6,2,2,9,2,51,54,54,496.0,494,490,2,4,6,772,2709,658,12,13,9,11,9,8,0,0,0,0,0,0,9,11,10,9,10,9,1.25.6,1.24.6,1.11.9,1.6,0.8,0.7,４上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,ハンデ,定量,定量,(混合)[指定] ,(混合)[指定] ,(混合)[指定] ,ダート,ダート,ダート,1400,1400,1200,1501,1545,1510,12,13,12,5.0,5.0,5.0,2,1,1,7,3,1,晴,曇,晴,良,良,良,0,0,0.0,37.2,36.3,35.8
2019,629,2,2013105681,1,5,11,2,4,関西,55,6,牡馬,2,666,関西,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,鹿毛,2019,2019,2019,519,407,203,10,10,10,5,8,4,5,12,7,57,55,55,486.0,484,494,2,-10,2,86,269,42,5,9,2,7,4,7,0,0,0,0,0,0,8,11,10,8,12,9,1.21.2,1.20.7,1.09.8,0.5,0.2,0.6,４上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,ハンデ,ハンデ,(混合)[指定] ,(混合)[指定] ,(混合)[指定] ,芝,芝,芝,1400,1400,1200,1501,1501,1501,9,12,16,5.0,5.0,5.0,2,2,2,10,6,4,晴,晴,曇,良,良,良,0,0,0.0,33.2,34.5,34.6
2019,629,2,2014100814,1,5,11,3,5,関西,55,5,セン馬,2,1124,関西,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,芦毛,2019,2019,2018,525,414,616,10,9,11,1,4,1,1,5,2,57,56,57,464.0,468,472,-4,-4,-14,203,135,219,8,8,7,13,1,7,0,0,0,0,0,0,5,1,15,5,1,15,1.21.2,1.09.3,1.08.3,0.8,-0.0,,４上,４上,３上,１６００万円以下,１０００万円以下,１０００万円以下,定量,ハンデ,定量,(混合)[指定] ,(混合)[指定] ,(混合)(特指),芝,芝,芝,1400,1200,1200,1501,1415,1525,15,13,16,5.0,5.0,5.0,3,2,1,11,8,1,晴,小雨,晴,良,稍重,良,0,0,,34.4,34.2,
2019,629,2,2016106071,1,5,11,3,6,関西,53,3,セン馬,3,1095,関東,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,黒鹿毛,2019,2019,2018,525,106,1216,11,11,11,8,6,7,16,7,13,56,56,55,452.0,474,472,-22,2,4,1653,230,829,15,8,10,11,12,15,0,0,0,0,0,0,15,2,9,14,2,9,1.08.9,1.37.5,1.36.6,0.9,1.8,2.7,３才,３才,２才,オープン,オープン,オープン,別定,別定,馬齢,(国際)(特指),(国際)(特指),(国際) 牡・牝 (指定),芝,芝,芝,1200,1600,1600,1535,1545,1540,16,12,15,4.0,3.0,1.0,3,1,5,11,2,6,晴,晴,小雨,良,良,良,0,0,0.0,33.7,37.5,35.5
2019,629,2,2015104875,1,5,11,4,7,関西,51,4,牝馬,2,1156,関西,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,栗毛,2019,2019,2018,309,224,1103,11,11,10,4,5,4,6,7,8,51,55,51,486.0,490,474,-4,16,-2,692,589,870,13,13,11,13,12,15,0,0,0,0,0,0,3,6,2,3,10,4,1.21.4,1.09.0,1.26.0,1.0,1.0,2.5,４上,４上,３上,１６００万円以下,１６００万円以下,１６００万円以下,ハンデ,定量,ハンデ,(混合)[指定] ,(混合),(混合)[指定] ,芝,芝,ダート,1400,1200,1400,1525,1525,1510,14,14,16,5.0,5.0,5.0,2,1,5,1,6,1,晴,晴,晴,良,良,良,0,0,0.0,34.7,35.7,38.9
2019,629,2,2014104351,1,5,11,4,8,関西,54,5,牝馬,3,1032,関西,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,栗毛,2019,2019,2019,525,420,407,10,11,10,8,8,1,14,14,1,55,55,54,466.0,452,458,14,-6,0,214,155,155,9,4,6,15,11,2,0,0,0,0,0,0,5,2,6,10,2,5,1.22.8,1.08.5,1.20.6,2.4,1.2,0.1,４上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,定量,ハンデ,(混合)[指定] ,(混合)[指定] ,(混合)[指定] ,芝,芝,芝,1400,1200,1400,1501,1535,1501,15,14,12,5.0,5.0,5.0,3,3,2,11,1,6,晴,晴,晴,良,良,良,0,0,0.0,35.9,34.1,35.2
2019,629,2,2015100494,1,5,11,5,9,関東,52,4,牝馬,3,1085,関東,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,鹿毛,2019,2019,2019,608,519,211,11,10,10,6,6,1,11,6,1,52,55,52,426.0,422,426,4,-4,0,465,138,267,15,6,9,15,6,3,0,0,0,0,0,0,6,3,10,7,3,9,1.33.8,1.21.1,1.21.0,0.8,0.4,0.3,３上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,ハンデ,定量,ハンデ,(混合)[指定] ,(混合)[指定] ,(混合)[指定] ,芝,芝,芝,1600,1400,1400,1545,1501,1510,18,9,13,5.0,5.0,5.0,3,2,1,3,10,5,曇,晴,曇,良,良,良,0,0,0.0,34.0,33.5,32.8
2019,629,2,2012101157,1,5,11,5,10,関東,55,7,牡馬,4,1169,関東,0,0,0,0.0,5,ハンデ,芝,３上,１６００万円以下,(混合)[指定] ,1200,1525,16,鹿毛,2019,2019,2019,331,309,223,11,11,11,5,2,5,8,2,5,57,55,55,470.0,468,470,2,-2,0,52,58,46,2,2,3,10,4,4,0,0,0,0,0,0,13,13,8,12,13,7,1.09.1,1.20.7,1.08.2,0.0,0.3,0.1,４上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,ハンデ,ハンデ,(混合)[指定] ,(混合)[指定] ,(混合)[指定] ,芝,芝,芝,1200,1400,1200,1530,1525,1545,14,14,12,5.0,5.0,5.0,3,2,2,4,1,1,晴,晴,晴,良,良,良,0,0,0.0,0.0,33.1,33.7
